Date,n_long,n_short,gross_exposure,gross_pnl,costs,net_pnl,ret_on_exposure,ret_on_capital,equity
2021-12-10,1,0,5.0,-0.16027759418374143,0.025,-0.18527759418374143,-0.037055518836748284,-0.005620522127745492,0.4251658372873592
2021-12-17,13,0,65.0,-0.6577836972605328,0.325,-0.9827836972605328,-0.015119749188623582,-0.029813413443626608,0.4187374364640032
2021-12-24,1,0,5.0,0.16772823779193202,0.025,0.14272823779193203,0.028545647558386407,0.004329758394682729,0.4306905677448069
2022-01-07,1,2,25.0,-0.4182395277974338,0.125,-0.5432395277974338,-0.02172958111189735,-0.0164795414151563,0.421331842118867
2022-01-14,2,1,20.0,-0.18101041852422395,0.1,-0.2810104185242239,-0.014050520926211197,-0.008524642617477493,0.41541191025429675
2022-01-21,13,0,65.0,-2.9564379858327188,0.325,-3.281437985832719,-0.050483661320503366,-0.09954465833524866,0.39444039606851544
2022-01-28,16,0,80.0,3.500092144257972,0.4,3.1000921442579723,0.03875115180322465,0.09404340860326713,0.40972541573389054
2022-02-11,1,0,5.0,-0.15783540022547893,0.025,-0.18283540022547892,-0.03656708004509578,-0.005546436509119377,0.3947429536602392
2022-02-18,6,0,30.0,-0.7169482226743262,0.15000000000000002,-0.8669482226743263,-0.028898274089144207,-0.02629946535423153,0.3833355635906072
2022-02-25,16,0,80.0,-2.0721839374292292,0.4,-2.472183937429229,-0.030902299217865366,-0.07499538508902594,0.37148961330368124
2022-03-04,17,2,105.0,1.538629647367048,0.525,1.0136296473670479,0.00965361568920998,0.030749146368532078,0.3750758312630482
2022-03-11,0,1,10.0,-0.04358446285741557,0.05,-0.09358446285741558,-0.009358446285741558,-0.002838948479553593,0.3715657042430931
2022-03-25,5,0,25.0,0.9728410322793557,0.125,0.8478410322793557,0.033913641291174225,0.02571983570776993,0.3841668502528959
2022-04-01,2,0,10.0,0.37157051329764323,0.05,0.32157051329764325,0.032157051329764326,0.009755060743219015,0.3965205233756722
2022-04-08,0,1,10.0,-0.31308703819661776,0.05,-0.36308703819661775,-0.036308703819661774,-0.011014492828840622,0.3821233771340076
2022-04-15,1,0,5.0,-0.29812528577960684,0.025,-0.32312528577960686,-0.06462505715592137,-0.00980222582638509,0.3574286320461087
2022-04-22,6,0,30.0,0.012505623893788176,0.15000000000000002,-0.13749437610621185,-0.004583145870207061,-0.004170985632397309,0.3557904844872528
